#截止2021-06-09，辽宁省大连市IP地址共计209条记录，IP地址总数2341632。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
1.13.192.0	1.14.127.255	49152	方正宽带
1.15.208.0	1.15.223.255	4096	方正宽带
36.132.1.0	36.132.1.255	256	移动
39.134.50.0	39.134.50.255	256	移动
39.135.126.0	39.135.126.255	256	移动
39.152.128.0	39.152.159.255	8192	移动
39.153.64.0	39.153.95.255	8192	移动
42.7.32.0	42.7.63.255	8192	联通
42.59.0.0	42.59.31.255	8192	联通
42.84.0.0	42.84.255.255	65536	联通
42.86.192.0	42.86.255.255	16384	联通
42.199.64.0	42.199.127.255	16384	鹏博士
42.202.128.0	42.202.159.255	8192	电信
42.248.32.0	42.248.32.255	256	电信
42.248.34.0	42.248.35.255	512	电信
42.248.40.0	42.248.41.255	512	电信
42.248.44.0	42.248.47.255	1024	电信
42.248.54.0	42.248.56.255	768	电信
42.248.60.0	42.248.62.255	768	电信
42.249.24.0	42.249.29.255	1536	电信
42.249.56.0	42.249.59.255	1024	电信
43.226.32.0	43.226.95.255	16384	电信
43.226.128.0	43.226.159.255	8192	电信
43.227.64.0	43.227.95.255	8192	电信
43.236.40.0	43.236.43.255	1024	XX
43.250.160.0	43.250.163.255	1024	XX
45.123.32.0	45.123.39.255	2048	鹏博士
49.4.96.0	49.4.110.255	3840	联通
49.5.7.0	49.5.7.255	256	方正宽带
49.141.192.0	49.141.210.255	4864	教育网
49.221.64.0	49.221.127.255	16384	鹏博士
49.223.192.0	49.223.255.255	16384	鹏博士
58.154.128.0	58.154.159.255	8192	教育网
58.155.192.0	58.155.207.255	4096	教育网
58.155.208.0	58.155.223.255	4096	大连理工大学
58.155.224.0	58.155.255.255	8192	教育网
58.200.3.0	58.200.3.255	256	教育网
58.200.75.0	58.200.75.255	256	教育网
59.44.64.0	59.44.127.255	16384	电信
59.46.128.0	59.46.255.255	32768	电信
59.47.241.0	59.47.241.255	256	电信
59.108.47.0	59.108.47.255	256	方正宽带
59.109.4.0	59.109.4.255	256	方正宽带
59.109.47.0	59.109.47.255	256	方正宽带
59.109.75.0	59.109.75.255	256	方正宽带
59.109.160.0	59.109.191.255	8192	方正宽带
59.109.208.0	59.109.215.255	2048	方正宽带
60.19.16.0	60.19.19.255	1024	联通
60.19.21.0	60.19.27.255	1792	联通
60.19.30.0	60.19.31.255	512	联通
60.20.0.0	60.21.127.255	98304	联通
60.23.242.0	60.23.255.255	3584	联通
61.176.128.0	61.176.175.255	12288	联通
61.176.192.0	61.176.195.255	1024	联通
61.176.200.0	61.176.203.255	1024	联通
61.176.209.0	61.176.211.255	768	联通
61.189.64.0	61.189.127.255	16384	联通
61.232.157.0	61.232.158.255	512	铁通
61.232.160.0	61.232.160.255	256	铁通
61.232.165.0	61.232.167.255	768	铁通
101.131.128.0	101.131.255.255	32768	鹏博士
103.32.40.0	103.32.43.255	1024	XX
103.42.24.0	103.42.27.255	1024	XX
103.45.172.0	103.45.175.255	1024	电信
103.45.248.0	103.45.251.255	1024	电信
103.56.200.0	103.56.203.255	1024	XX
103.62.96.0	103.62.135.255	10240	鹏博士
103.65.116.0	103.65.119.255	1024	XX
103.67.96.0	103.67.99.255	1024	XX
103.203.200.0	103.203.203.255	1024	XX
106.3.88.0	106.3.95.255	2048	电信
110.103.128.0	110.103.159.255	8192	铁通
110.104.0.0	110.104.63.255	16384	铁通
110.104.104.0	110.104.111.255	2048	铁通
110.173.8.0	110.173.31.255	6144	电信
111.45.200.0	111.45.207.255	2048	移动
111.117.64.0	111.117.95.255	8192	教育网
111.117.96.0	111.117.127.255	8192	大连理工大学
112.40.64.0	112.40.95.255	8192	移动
112.42.0.0	112.42.127.255	32768	移动
112.54.1.0	112.54.1.255	256	移动
113.226.0.0	113.227.255.255	131072	联通
113.230.177.0	113.230.177.255	256	联通
113.234.0.0	113.235.255.255	131072	联通
114.112.24.0	114.112.31.255	2048	电信
114.113.208.0	114.113.215.255	2048	电信
115.102.32.0	115.102.47.255	4096	铁通
116.3.0.0	116.3.255.255	65536	联通
116.196.0.0	116.196.7.255	2048	电信
116.217.128.0	116.217.191.255	16384	铁通
116.217.223.0	116.217.223.255	256	铁通
116.217.251.0	116.217.252.255	512	铁通
116.217.254.0	116.217.254.255	256	铁通
117.58.0.0	117.58.63.255	16384	鹏博士
117.72.0.0	117.72.63.255	16384	XX
117.72.80.0	117.72.95.255	4096	XX
118.202.128.0	118.202.255.255	32768	教育网
119.78.130.0	119.78.131.255	512	科技网
119.109.0.0	119.109.127.255	32768	联通
119.112.0.0	119.113.255.255	131072	联通
120.200.128.0	120.200.159.255	8192	移动
120.201.192.0	120.201.223.255	8192	移动
120.201.228.0	120.201.255.255	7168	移动
121.4.0.0	121.4.63.255	16384	方正宽带
121.4.80.0	121.4.95.255	4096	方正宽带
121.5.0.0	121.5.15.255	4096	方正宽带
121.5.21.0	121.5.21.255	256	方正宽带
121.5.23.0	121.5.23.255	256	方正宽带
121.5.96.0	121.5.127.255	8192	方正宽带
123.90.128.0	123.90.255.255	32768	铁通
123.177.7.0	123.177.7.255	256	电信
123.177.16.0	123.177.23.255	2048	电信
123.177.42.0	123.177.49.255	2048	电信
123.177.128.0	123.177.159.255	8192	电信
123.185.0.0	123.185.255.255	65536	电信
123.189.228.0	123.189.231.255	1024	联通
123.246.32.0	123.246.63.255	8192	电信
124.93.0.0	124.93.255.255	65536	联通
125.222.0.0	125.222.31.255	8192	教育网
125.222.128.0	125.222.191.255	16384	教育网
159.226.159.0	159.226.159.255	256	科技网
159.226.238.0	159.226.238.255	256	科技网
175.162.0.0	175.163.255.255	131072	联通
175.166.128.0	175.166.255.255	32768	联通
175.170.0.0	175.171.255.255	131072	联通
175.174.128.0	175.174.255.255	32768	联通
175.188.0.0	175.188.63.255	16384	鹏博士
175.190.0.0	175.190.127.255	32768	鹏博士
182.201.0.0	182.201.191.255	49152	电信
182.201.232.0	182.201.247.255	4096	电信
182.204.168.0	182.204.168.255	256	电信
202.61.76.0	202.61.79.255	1024	XX
202.96.69.0	202.96.71.255	768	联通
202.96.74.0	202.96.77.255	1024	联通
202.97.166.0	202.97.169.255	1024	联通
202.97.180.0	202.97.180.255	256	联通
202.97.182.0	202.97.183.255	512	联通
202.107.48.0	202.107.63.255	4096	联通
202.107.104.0	202.107.106.255	768	联通
202.107.108.0	202.107.108.255	256	联通
202.110.53.0	202.110.53.255	256	联通
202.110.60.0	202.110.60.255	256	联通
202.118.64.0	202.118.79.255	4096	大连理工大学
202.118.80.0	202.118.95.255	4096	教育网
202.118.96.0	202.118.111.255	4096	大连理工大学
202.127.235.0	202.127.235.255	256	教育网
202.199.128.0	202.199.183.255	14336	教育网
203.93.137.0	203.93.137.255	256	联通
203.93.204.0	203.93.204.255	256	联通
210.30.0.0	210.30.15.255	4096	教育网
210.30.16.0	210.30.19.255	1024	大连理工大学
210.30.20.0	210.30.21.255	512	教育网
210.30.32.0	210.30.95.255	16384	教育网
